ta_id,ta_slug,ta_name,ea_id,ea_slug,ea_name,match_type,confidence,distance_m,name_distance,images_count
1988,the-bigfoot-lodge-east,The Bigfoot Lodge (East),,,,no_match,0.0,,,5
1989,the-church-dining-rooms,The Church & Dining Rooms,,,,no_match,0.0,,,5
1990,kuduowl,Kuduowl,,,,no_match,0.0,,,5
1991,the-red-lion-tavern,The Red Lion Tavern,,,,no_match,0.0,,,5
1992,royal-oak-boothstown,"Royal Oak, Boothstown",435,royal-oak-boothstown,Royal Oak Boothstown,slug_geo,1.0,15.6,0,5
1993,great-dane-pub-brewing-co-hilldale,Great Dane Pub & Brewing Co. - Hilldale,,,,no_match,0.0,,,5
1994,truly-la,Truly LA,,,,no_match,0.0,,,5
1995,kairoa-brewing-company,Kairoa Brewing Company,,,,no_match,0.0,,,5
1996,swan-corporate-quiz,Swan Corporate Quiz,,,,no_match,0.0,,,5
1997,square-nightclub,Square Nightclub,,,,no_match,0.0,,,5
1998,brews-brothers-brewpub,Brews Brothers Brewpub,,,,no_match,0.0,,,5
1999,the-abbey,The Abbey,,,,no_match,0.0,,,5
2000,video-vortex-alamo-drafthouse-los-angeles,Video Vortex @Alamo Drafthouse Los Angeles,,,,no_match,0.0,,,5
2001,shadow-grove-brewing,Shadow Grove Brewing,,,,no_match,0.0,,,5
2002,cheba-hut-north-hollywood,Cheba Hut - North Hollywood,,,,no_match,0.0,,,5
2003,el-tejano-tex-mex,El Tejano Tex Mex,,,,no_match,0.0,,,5
2004,player-one-arcade-bar,Player One Arcade Bar,,,,no_match,0.0,,,5
2005,brews-brothers,Brews Brothers,,,,no_match,0.0,,,5
2006,biergarten-la,Biergarten - LA,,,,no_match,0.0,,,5
2007,sypanec,Sypanec,,,,no_match,0.0,,,5
2008,zero-lounge,Zero Lounge,,,,no_match,0.0,,,5
2009,2nd-floor-huntington-beach,2nd Floor Huntington Beach,,,,no_match,0.0,,,5
2010,prost-msn,Prost! MSN,,,,no_match,0.0,,,5
2011,backstage-brewing-company,Backstage Brewing Company,,,,no_match,0.0,,,5
2012,thirsty-merchant,Thirsty Merchant,,,,no_match,0.0,,,5
2013,the-doghouse,The Doghouse,,,,no_match,0.0,,,5
2014,state-line-distillery,State Line Distillery,,,,no_match,0.0,,,5
2015,the-way-outback,The Way Outback,,,,no_match,0.0,,,5
2016,the-bungalow,The Bungalow,,,,no_match,0.0,,,5
2017,roundin-3rd,Roundin' 3rd,,,,no_match,0.0,,,5
2018,rances-chicago-pizza-long-beach,Rance's Chicago Pizza (Long Beach),,,,no_match,0.0,,,5
2020,the-boneyard,The Boneyard,,,,no_match,0.0,,,5
2021,the-blind-donkey-long-beach,The Blind Donkey (Long Beach),,,,no_match,0.0,,,5
2022,r-bar,R Bar,,,,no_match,0.0,,,5
2023,cinepolis-luxury-cinemas-inglewood,Cinepolis Luxury Cinemas Inglewood,,,,no_match,0.0,,,5
2024,hound-song-brewing-co,Hound Song Brewing Co.,,,,no_match,0.0,,,5
2025,b3q-smokehouse,B3Q Smokehouse,,,,no_match,0.0,,,5
2026,monkish-brewing-co,Monkish Brewing Co.,,,,no_match,0.0,,,5
2027,firestone-walker-brewing-company-the-propagator,Firestone Walker Brewing Company - The Propagator,,,,no_match,0.0,,,5
2028,stella,Stella,,,,no_match,0.0,,,5
2029,hacienda-playa,Hacienda Playa,,,,no_match,0.0,,,5
2030,barneys-beanery-santa-monica,Barney's Beanery - Santa Monica,,,,no_match,0.0,,,5
2031,picture-house-social,Picture House Social,,,,no_match,0.0,,,5
2032,holey-moley-santa-monica-starts-on-april-23,Holey Moley - Santa Monica (Starts on April 23!),,,,no_match,0.0,,,5
2033,sams-saloon-starts-on-march-26,Sam’s Saloon (Starts on March 26!),,,,no_match,0.0,,,5
2034,moonshot-brewing,Moonshot Brewing,,,,no_match,0.0,,,5
2035,hermosa-brewing-co,Hermosa Brewing Co.,,,,no_match,0.0,,,5
2036,emerald-of-siam,Emerald of Siam,,,,no_match,0.0,,,5
2037,the-tabletop-tavern-located-inside-dragons-lair-comics-fantasy,The Tabletop Tavern located inside Dragon's Lair Comics & Fantasy,,,,no_match,0.0,,,5
2038,canal-duke,Canal Duke,,,,no_match,0.0,,,5
2039,lord-stanleys,Lord Stanley's,,,,no_match,0.0,,,5
2040,the-lord-nelson-pub-kitchen,The Lord Nelson Pub & Kitchen,,,,no_match,0.0,,,5
2041,disney-princesses-quiz-vol-1-at-dave-and-busters-thousand-oaks,Disney Princesses Quiz Vol. 1 at Dave and Buster's -  Thousand Oaks,,,,no_match,0.0,,,5
2042,hot-rod-diner,Hot Rod Diner,,,,no_match,0.0,,,5
2043,the-anchor-inn,The Anchor Inn,,,,no_match,0.0,,,5
2044,the-growler-spot,The Growler Spot,,,,no_match,0.0,,,5
2045,arden-arms,Arden Arms,,,,no_match,0.0,,,5
2046,the-brass-tap-kingwood,The Brass Tap - Kingwood,,,,no_match,0.0,,,5
2047,via-313-pizza-memorial-city-starts-on-may-1,Via 313 Pizza - Memorial City (Starts on May 1!),,,,no_match,0.0,,,5
2048,land-oak,land oak,,,,no_match,0.0,,,5
2049,the-little-nashville-cafe,The Little Nashville Cafe,,,,no_match,0.0,,,5
2050,holy-moley-brewing-company,Holy Moley Brewing Company,,,,no_match,0.0,,,5
2051,the-doghouse-bar,The Doghouse Bar,,,,no_match,0.0,,,5
2052,nettbar-shady-acres,NettBar Shady Acres,,,,no_match,0.0,,,5
2053,milford-hall-cricket-club,Milford Hall Cricket Club,,,,no_match,0.0,,,5
2054,cactus-cove,Cactus Cove,,,,no_match,0.0,,,5
2055,lusk-united-soccor-club,lusk united soccor club,,,,no_match,0.0,,,5
2056,conservatory-galleria,Conservatory Galleria,,,,no_match,0.0,,,5
2057,kviz-u-dasi,Kvíz u Dáši,,,,no_match,0.0,,,5
2058,onion-creek,Onion Creek,,,,no_match,0.0,,,5
2060,nettbar,NettBar,,,,no_match,0.0,,,5
2061,the-ashton-club,The Ashton Club,,,,no_match,0.0,,,5
2062,disney-quiz-vol-1-at-city-orchard,Disney Quiz Vol. 1 at City Orchard,,,,no_match,0.0,,,5
2063,the-conker-distillery-tap-room,The Conker Distillery & Tap Room,,,,no_match,0.0,,,5
2064,the-red-lion-chester,"The Red Lion, Chester",,,,no_match,0.0,,,5
2065,the-lion,The Lion,930,the-lion,The Lion,slug_geo,1.0,0.3,0,5
2066,the-black-lion,The Black Lion,894,the-black-lion,The Black Lion,slug_geo,1.0,0.1,0,4
2067,the-broad-oak,The Broad Oak,891,the-broad-oak,The Broad Oak,slug_geo,1.0,19.7,0,5
2069,jolly-miller,Jolly Miller,,,,no_match,0.0,,,5
2070,platypus-brewing-jbl,Platypus Brewing - JBL,,,,no_match,0.0,,,5
2071,the-tawny-owl,The Tawny Owl,,,,no_match,0.0,,,5
2072,the-highway,The Highway,899,the-highway,The Highway,slug_geo,1.0,11.1,0,5
2073,little-woodrows-midtown,Little Woodrow's Midtown,,,,no_match,0.0,,,5
2074,travellers-rest,Travellers Rest,,,,no_match,0.0,,,5
2075,the-maple-leaf-pub-houston,The Maple Leaf Pub,,,,no_match,0.0,,,5
2077,the-patio-at-the-pit-room,The Patio at The Pit Room,,,,no_match,0.0,,,5
2078,queens-head-stowmarket,Queens Head - Stowmarket,,,,no_match,0.0,,,5
2079,the-owl,The Owl,,,,no_match,0.0,,,5
2080,the-ace,The Ace,901,the-ace,The Ace,slug_geo,1.0,1.4,0,5
